id,syllable,words,complexword,nounPhraseCount,JJ,RB,VB,NN,complexity,Class_Label
1,41,27,3,4,2,4,1,15,64.666,Plain_English
2,38,24,4,2,3,1,2,8,60.705,Plain_English
3,15,10,1,1,1,0,2,6,74.86,Fairly_Easy
4,26,21,0,2,2,0,3,8,91.435,Very_Easy
5,16,13,0,2,1,1,2,5,96.114,Very_Easy
6,17,10,3,1,1,0,3,4,57.94,Fairly_difficult
7,24,16,2,1,2,0,3,4,71.815,Fairly_Easy
8,40,20,7,2,3,1,2,9,27.485,very_difficult
9,49,29,7,4,3,0,6,8,49.173,Very_Easy
10,38,22,5,1,1,5,5,8,49.543,Very_Easy
11,22,12,2,3,2,1,1,6,45.645,Dificult
12,55,38,4,6,4,1,3,15,65.103,Plain_English
13,28,19,3,1,1,0,2,8,72.519,Fairly_Easy
14,49,26,7,5,4,1,4,8,34.202,Dificult
15,36,18,4,2,2,1,4,7,28.5,very_difficult
16,34,20,3,1,0,0,3,9,52.865,Fairly_difficult
17,27,20,2,0,0,1,5,4,82.475,Easy
18,37,24,4,1,2,2,6,3,64.23,Plain_English
19,49,31,5,2,1,0,5,11,57.38,Fairly_difficult
20,23,21,0,1,0,1,1,7,103.52,Very_Easy
21,49,33,3,4,1,1,6,14,64.469,Plain_English
22,39,24,4,4,0,0,5,9,57.18,Fairly_difficult
23,21,15,0,1,1,0,1,6,80.783,Easy
24,19,12,1,1,1,0,2,5,66.795,Plain_English
25,58,38,3,3,3,1,3,17,58.424,Fairly_difficult
26,53,37,4,6,2,2,5,14,66.874,Plain_English
27,35,25,2,2,3,0,4,6,75.708,Fairly_Easy
28,20,10,2,0,0,1,2,4,32.56,Dificult
29,44,26,4,3,4,2,5,8,50.471,Fairly_difficult
30,46,33,3,4,5,0,4,9,72.16,Fairly_Easy
31,27,14,4,3,3,0,3,4,36.573,Dificult
32,58,37,7,3,5,1,3,13,55.441,Fairly_difficult
33,31,23,1,1,2,2,6,4,81.136,Easy
34,56,42,2,3,5,3,6,12,72.72,Fairly_Easy
35,37,24,2,2,2,0,3,7,64.23,Plain_English
36,43,31,2,6,3,4,4,13,73.754,Fairly_Easy
37,32,24,0,2,1,0,3,11,81.855,Easy
38,30,20,2,1,0,0,5,8,69.785,Very_Easy
39,21,11,3,2,2,1,1,4,39.743,Dificult
40,21,12,1,3,2,0,2,5,52.695,Fairly_difficult
41,55,37,3,3,2,1,8,12,62.301,Plain_English
42,55,33,6,5,1,1,4,14,49.088,Very_Easy
43,13,6,2,1,1,0,1,3,20.49,very_difficult
44,35,24,3,1,0,0,6,7,71.28,Fairly_Easy
45,34,23,3,2,2,0,3,9,70.102,Fairly_Easy
46,30,23,2,1,1,1,5,7,84.815,Easy
47,44,25,5,3,1,0,5,9,45.252,Dificult
48,26,19,0,3,2,0,3,11,81.424,Easy
49,35,25,3,2,1,5,2,7,75.708,Fairly_Easy
50,31,22,3,3,3,1,3,9,76.461,Fairly_Easy
51,29,20,2,3,2,1,2,6,74.015,Fairly_Easy
52,29,18,4,2,1,0,4,8,61.4,Plain_English
53,31,25,2,2,3,0,3,4,89.244,Very_Easy
54,53,31,7,6,4,1,4,13,46.464,Dificult
55,26,16,3,1,1,1,2,7,61.24,Plain_English
56,57,36,6,4,3,1,8,10,54.615,Fairly_difficult
57,18,10,3,0,1,2,3,1,49.48,Very_Easy
58,43,25,3,3,3,1,3,12,48.636,Dificult
59,17,11,3,1,1,1,2,5,70.507,Fairly_Easy
60,20,11,3,1,0,1,2,5,47.434,Dificult
61,32,18,5,3,3,1,1,10,47.3,Dificult
62,54,35,6,4,3,4,6,10,58.547,Fairly_difficult
63,28,20,2,3,2,0,2,8,78.245,Fairly_Easy
64,31,19,4,3,1,0,5,6,59.161,Very_Easy
65,36,25,2,1,3,0,3,10,72.324,Fairly_Easy
66,11,9,0,1,0,1,1,4,98.868,Very_Easy
67,48,32,3,4,0,0,4,17,63.695,Plain_English
68,40,27,3,3,1,1,5,10,67.799,Plain_English
69,22,14,0,2,0,0,2,10,66.787,Plain_English
70,22,12,3,0,0,0,5,3,45.645,Dificult
71,34,26,1,4,6,0,2,7,83.009,Easy
72,17,12,0,1,1,0,2,5,80.895,Easy
73,36,23,1,3,1,6,2,13,62.745,Plain_English
74,3,2,0,1,0,2,0,2,78.92,Fairly_Easy
75,31,22,2,3,2,0,3,10,76.461,Fairly_Easy
76,27,18,2,2,0,0,2,13,70.8,Fairly_Easy
77,50,31,4,7,2,2,1,19,54.651,Fairly_difficult
78,29,19,3,1,2,0,4,4,68.066,Plain_English
79,39,28,3,3,0,1,6,10,74.789,Fairly_Easy
80,44,23,9,3,1,1,3,9,33.319,Dificult
81,29,15,5,1,2,1,2,5,35.663,Dificult
82,36,22,4,4,3,4,5,5,57.234,Fairly_difficult
83,27,14,5,3,4,0,1,4,36.573,Dificult
84,20,13,2,0,2,0,2,3,70.084,Fairly_Easy
85,56,29,8,4,2,1,4,11,28.752,very_difficult
86,44,23,7,2,3,3,4,6,33.319,Dificult
87,36,22,3,3,1,1,4,9,57.234,Fairly_difficult
88,37,23,4,3,3,4,2,7,59.067,Very_Easy
89,46,32,4,2,3,1,3,12,68.983,Plain_English
90,23,12,4,1,0,1,3,6,38.595,Dificult
91,19,13,1,3,2,0,1,5,76.591,Fairly_Easy
92,27,16,3,1,1,2,2,5,55.953,Fairly_difficult
93,41,30,3,3,3,1,2,11,75.99,Fairly_Easy
94,38,24,5,4,4,1,2,7,60.705,Plain_English
95,20,14,1,3,2,0,1,6,78.873,Fairly_Easy
96,39,19,7,4,2,2,2,8,23.54,very_difficult
97,24,16,3,2,0,1,3,5,71.815,Fairly_Easy
98,32,20,5,2,4,3,5,4,61.325,Plain_English
99,39,22,7,4,1,0,5,10,45.697,Dificult
100,43,28,4,2,2,3,5,7,62.704,Plain_English
101,38,21,6,4,2,1,3,9,43.092,Dificult
102,20,12,2,1,2,0,2,3,59.745,Very_Easy
103,48,28,3,4,3,0,6,10,47.596,Dificult
104,37,23,3,3,1,1,1,10,59.067,Very_Easy
105,30,17,4,0,1,0,4,4,48.913,Dificult
106,21,15,1,1,0,1,1,6,80.783,Easy
107,59,29,6,5,1,0,5,13,20,very_difficult
108,26,14,3,0,0,1,2,5,42.616,Dificult
109,36,25,3,4,0,0,3,11,72.324,Fairly_Easy
110,56,34,5,3,1,0,7,13,50.239,Fairly_difficult
111,30,19,4,2,4,0,3,5,63.614,Plain_English
112,42,27,3,2,0,0,5,13,61.533,Plain_English
113,46,29,4,3,5,0,6,9,57.924,Fairly_difficult
114,13,9,0,1,1,0,3,3,80.068,Easy
115,17,11,2,1,0,1,4,3,70.507,Fairly_Easy
116,51,33,4,3,2,2,5,10,59.342,Very_Easy
117,14,10,1,1,1,0,1,4,83.32,Easy
118,42,28,5,1,3,1,2,12,65.725,Plain_English
119,36,21,4,4,1,0,2,10,51.149,Fairly_difficult
120,27,15,5,1,1,0,3,6,46.942,Dificult
121,19,8,4,1,0,2,1,3,1.85,very_difficult
122,21,10,3,1,0,0,2,5,24.1,very_difficult
123,58,33,7,3,4,0,4,11,41.397,Dificult
124,22,14,2,1,3,0,3,4,66.787,Plain_English
125,25,16,2,1,1,0,3,6,66.528,Plain_English
126,27,14,5,2,0,5,3,6,36.573,Dificult
127,61,35,6,7,3,2,4,16,41.627,Dificult
128,30,13,6,2,4,0,2,5,5.007,very_difficult
129,21,9,4,0,0,2,1,3,4.868,very_difficult
130,49,31,6,5,2,0,6,13,57.38,Fairly_difficult
131,27,16,3,2,0,4,3,4,55.953,Fairly_difficult
132,26,17,3,0,2,1,3,4,68.819,Plain_English
133,31,17,5,1,0,0,2,11,43.937,Dificult
134,68,34,10,2,1,0,6,15,20.38,very_difficult
135,43,23,5,3,2,0,5,7,36.997,Dificult
136,49,30,6,1,0,1,4,11,53.43,Fairly_difficult
137,29,15,4,1,0,1,4,4,35.663,Dificult
138,34,22,3,2,1,2,4,5,64.925,Plain_English
139,30,17,2,1,1,0,3,9,48.913,Dificult
140,47,28,6,2,3,0,7,12,50.618,Fairly_difficult
141,21,14,2,2,1,5,2,3,72.83,Fairly_Easy
142,25,17,1,1,2,3,2,4,73.796,Fairly_Easy
143,26,19,1,2,1,1,3,4,81.424,Easy
144,26,14,2,1,2,1,2,4,42.616,Dificult
145,13,7,1,0,0,2,3,1,46.168,Dificult
146,46,30,6,1,2,1,6,7,61.89,Plain_English
147,28,17,3,2,2,1,3,4,58.866,Fairly_difficult
148,22,12,3,1,0,1,2,5,45.645,Dificult
149,10,8,0,0,0,0,1,3,97.025,Very_Easy
150,37,19,6,2,2,0,3,6,32.445,Dificult
151,35,20,5,2,1,1,6,9,48.635,Dificult
152,30,16,4,1,1,1,4,6,40.09,Dificult
153,40,24,6,3,1,0,5,10,53.655,Fairly_difficult
154,28,18,3,1,1,0,6,4,66.1,Plain_English
155,37,20,6,3,2,0,3,9,40.175,Dificult
156,47,27,6,2,2,2,6,10,45.866,Dificult
157,34,22,3,4,1,5,1,9,64.925,Plain_English
158,44,23,8,2,1,0,5,9,33.319,Dificult
159,46,28,6,4,1,4,3,15,53.639,Fairly_difficult
